slug,icon,titre,texte
catane,🐟,Pescheria & street food,"Toute l'année — marché aux poissons historique, arancini, granita."
catane,🏛️,Baroque de lave noire,"Toute l'année — Piazza del Duomo, Via Etnea, Monastero dei Benedettini."
catane,🏖️,Plages volcaniques,"Juin-septembre — San Giovanni Li Cuti, Aci Trezza, roches noires."
sorrente,🍋,Limoncello & citronniers,"Toute l'année — terrasses d'agrumes, production artisanale locale."
sorrente,🏖️,Côte Amalfitaine,"Mai-octobre — excursion Positano, Amalfi, Ravello en bateau."
sorrente,🏝️,Capri en ferry,"Avril-octobre — 20 min de traversée, Grotta Azzurra, jardins d'Auguste."
sorrente,🍝,Cuisine sorrentine,"Toute l'année — gnocchi alla sorrentina, fruits de mer, vin local."
ravello,🎵,Festival de Ravello,"Juin-septembre — concerts classiques au Belvédère de la Villa Rufolo."
ravello,🏛️,Villa Cimbrone,"Toute l'année — Terrasse de l'Infini, la plus belle vue de la côte."
ravello,🥾,Sentier des Dieux,"Avril-octobre — randonnée spectaculaire Agerola-Positano, 8 km."
ravello,💰,Budget,"Octobre-novembre — hôtels -40%, Amalfi sans la foule estivale."
taormina,🏛️,Théâtre gréco-romain,"Toute l'année — vue sur l'Etna et la baie depuis les gradins antiques."
taormina,🏖️,Isola Bella,"Mai-septembre — plage-réserve naturelle au pied de la falaise, téléphérique."
taormina,🎬,Taormina Film Fest,"Juin — projections en plein air dans le théâtre antique."
taormina,🍷,Vins de l'Etna,"Toute l'année — Nerello Mascalese, caves sur les pentes du volcan."
siena,🐎,Palio di Siena,"2 juillet & 16 août — course de chevaux médiévale sur la Piazza del Campo."
siena,🏛️,Piazza del Campo,"Toute l'année — place en coquillage, Palazzo Pubblico, Torre del Mangia."
siena,🍷,Chianti & dégustations,"Septembre-octobre — route du Chianti Classico, vendanges entre vignobles."
siena,🏘️,Val d'Orcia,"Mai-juin ou sep — collines UNESCO, Pienza, Montalcino, cyprès toscans."
trieste,☕,Cafés historiques,"Toute l'année — San Marco, Antico Torinese, capitale du café en Italie."
trieste,🏰,Château de Miramare,"Toute l'année — palais Habsbourg face à l'Adriatique, jardins botaniques."
trieste,🌊,Barcola & Grotta Gigante,"Juin-septembre — baignade locale et plus grande grotte touristique d'Europe."
trieste,🍷,Osmize du Carso,"Toute l'année — tavernes rurales du Karst, jota triestina, vins locaux."
lac-bled,🏝️,Île & église baroque,"Mai-septembre — barque pletna vers l'île, 99 marches et cloche à vœux."
lac-bled,🏔️,Château perché,"Toute l'année — plus vieux château de Slovénie, vue plongeante sur le lac."
lac-bled,🥾,Gorges de Vintgar,"Avril-octobre — passerelles en bois le long de la rivière Radovna, 1,6 km."
lac-bled,🍰,Kremšnita,"Toute l'année — gâteau à la crème traditionnel de l'Hôtel Park."
piran,🏘️,Place Tartini,"Toute l'année — place vénitienne, église Saint-Georges et vue adriatique."
piran,🏖️,Plages adriatiques,"Juin-septembre — Fiesa, baignade et sel de Sečovlje."
piran,🐟,Fruits de mer istriens,"Toute l'année — poissons grillés au port, vin Malvasia et huile d'olive."
piran,🌅,Coucher de soleil,"Mai-septembre — seul coucher de soleil sur mer de Slovénie, depuis les remparts."
sarajevo,🕌,Baščaršija & bazars,"Toute l'année — quartier ottoman, Sebilj, ćevapi dans les ćevabdžinicas."
sarajevo,🏛️,Carrefour de civilisations,"Toute l'année — mosquée, cathédrale, synagogue et église orthodoxe à 500 m."
sarajevo,🎿,Ski olympique,"Décembre-mars — pistes de Bjelašnica et Jahorina des JO 1984, prix modestes."
sarajevo,☕,Culture du café bosniaque,"Toute l'année — rituel du café bosniaque dans les dédales du vieux quartier."
belgrade,🏰,Forteresse Kalemegdan,"Toute l'année — citadelle au confluent Danube-Save, vue panoramique."
belgrade,🎵,Nightlife & splavovi,"Mai-octobre — clubs flottants sur le Danube, sortie jusqu'au lever du soleil."
belgrade,🍽️,Ćevapi & rakija,"Toute l'année — Skadarlija bohème, grillades, rakija dans les kafanas."
belgrade,💰,Budget,"Toute l'année — l'une des capitales les moins chères d'Europe, vie locale riche."
skopje,🏛️,Vieux bazar ottoman,"Toute l'année — plus grand bazar des Balkans après Istanbul, artisanat."
skopje,🏞️,Canyon de Matka,"Avril-octobre — kayak, grottes et monastère à 30 min du centre."
skopje,🍷,Vignobles de Tikveš,"Septembre-octobre — plus grande région viticole des Balkans, route des vins."
skopje,💰,Budget,"Toute l'année — destination ultra-abordable, repas complet sous 10€."
tirana,🏛️,Bunk'Art,"Toute l'année — musées dans d'anciens bunkers, histoire contemporaine saisissante."
tirana,🎨,Architecture colorée,"Toute l'année — façades peintes d'Edi Rama, Skanderbeg rénovée."
tirana,🏖️,Riviera albanaise,"Juin-septembre — Ksamil, Himara à 4h — plages secrètes d'Europe."
tirana,💰,Budget,"Toute l'année — la capitale la moins chère d'Europe, cuisine authentique."
riyad,🏛️,Diriyah historique,"Octobre-mars — quartier At-Turaif UNESCO, berceau des Saoud, 22°C."
riyad,🏜️,Edge of the World,"Novembre-février — falaises vertigineuses du Jebel Fihrayn à 1h30."
riyad,🏙️,Tours futuristes,"Toute l'année — Kingdom Centre, Boulevard Riyadh, saison culturelle."
riyad,💰,Budget,"Novembre-février — vols souvent moins chers, températures clémentes."
djeddah,🏛️,Al-Balad UNESCO,"Octobre-avril — vieille ville aux maisons de corail, souks, tour de guet."
djeddah,🤿,Plongée mer Rouge,"Toute l'année — récifs coralliens vierges, épaves et raies manta."
djeddah,🌊,Corniche & front de mer,"Novembre-mars — promenade de 30 km, mosquée flottante, 25°C."
djeddah,🍽️,Cuisine hedjazi,"Toute l'année — saleeg, kabsa, poissons grillés au souk Al-Alawi."
bahrein,🏰,Fort de Bahreïn UNESCO,"Octobre-avril — site archéologique Dilmun, 4 000 ans d'histoire."
bahrein,🏎️,Grand Prix de F1,"Mars — circuit de Sakhir, courses nocturnes spectaculaires."
bahrein,🏖️,Plages & Pearl Trail,"Novembre-mars — sentier de la perle, souks dorés, eau turquoise."
bahrein,💰,Budget,"Juin-août — hôtels à prix cassés malgré la chaleur, centres commerciaux climatisés."
koweït,🏙️,Tours du Koweït,"Octobre-avril — symboles iconiques, vue panoramique depuis le sommet."
koweït,🛥️,Île de Failaka,"Novembre-mars — site archéologique grec, ferry depuis la ville."
koweït,🕌,Grande Mosquée,"Toute l'année — plus grande mosquée du pays, visites guidées gratuites."
koweït,💰,Budget,"Octobre-mars — meilleure fenêtre climatique, musées gratuits."
beyrouth,🍽️,Cuisine levantine,"Toute l'année — mezze, manouchés, zaatar, quartier Gemmayze."
beyrouth,🏛️,Ruines romaines de Baalbek,"Avril-octobre — temples de Jupiter et Bacchus à 1h30, parmi les mieux conservés."
beyrouth,🏔️,Vallée de Qadisha,"Mai-octobre — gorge sainte UNESCO, monastères perchés, randonnée."
beyrouth,🪨,Pigeon Rocks,"Toute l'année — arches naturelles à Raouché, coucher de soleil emblématique."
muscat,🕌,Grande Mosquée du Sultan Qaboos,"Toute l'année — lustre Swarovski géant, tapis persan d'un seul tenant."
muscat,🏞️,Wadis d'Oman,"Octobre-avril — Wadi Shab, Wadi Bani Khalid, bassins d'eau émeraude."
muscat,⛵,Fjords du Musandam,"Octobre-avril — croisière en dhow, dauphins et falaises à pic."
muscat,🏖️,Plages & tortues,"Mai-septembre — Ras al-Jinz, ponte des tortues vertes sur la plage."
casablanca,🕌,Mosquée Hassan II,"Toute l'année — 3e plus grande mosquée du monde, sur l'océan."
casablanca,🏛️,Art Déco & Habous,"Toute l'année — quartier Art Déco unique en Afrique, médina nouvelle Habous."
casablanca,🏖️,Corniche Aïn Diab,"Juin-septembre — front de mer, plages et restaurants face à l'Atlantique."
casablanca,💰,Budget,"Novembre-février — vols Europe pas chers, hôtels -30% hors saison."
tanger,🏛️,Médina & Petit Socco,"Toute l'année — ruelles mythiques, cafés de Burroughs et Bowles."
tanger,🏖️,Cap Spartel,"Mai-septembre — pointe nord-ouest de l'Afrique, grottes d'Hercule."
tanger,🌊,Détroit de Gibraltar,"Toute l'année — vue sur l'Espagne, ferry vers Tarifa en 35 min."
tanger,💰,Budget,"Octobre-mars — tarifs réduits, médina sans touristes."
merzouga,🏜️,Dunes de l'Erg Chebbi,"Octobre-mars — nuit en camp berbère, lever de soleil sur les dunes de 150 m."
merzouga,🐪,Méharée au coucher du soleil,"Octobre-avril — balade à dos de dromadaire, thé à la menthe sous les étoiles."
merzouga,🌌,Ciels étoilés,"Toute l'année — zéro pollution lumineuse, Voie lactée à l'œil nu."
merzouga,🎵,Musique gnawa,"Toute l'année — festival gnawa, rythmes sahariens dans les villages khamlia."
assouan,⛵,Felouque sur le Nil,"Octobre-mars — navigation traditionnelle, coucher de soleil sur les cataractes."
assouan,🛕,Temple de Philae,"Toute l'année — temple d'Isis déplacé sur l'île d'Aguilkia, son et lumière."
assouan,🏛️,Temples d'Abou Simbel,"Octobre-février — excursion à 3h, colosses de Ramsès II, 25°C."
assouan,💰,Budget,"Octobre-novembre — vols pas chers, avant les foules de Noël."
petra,🏛️,Le Siq & le Trésor,"Mars-mai ou octobre-novembre — canyon étroit, Khazneh dorée à l'aube."
petra,🕯️,Petra by Night,"Lundi mercredi jeudi — 1 500 bougies illuminant le Siq et le Trésor."
petra,🥾,Monastère Ad-Deir,"Mars-mai — 800 marches, vue spectaculaire, moins de monde qu'au Trésor."
petra,💰,Budget,"Décembre-février — Jordan Pass rentable, hôtels Wadi Musa à -40%."
aqaba,🤿,Plongée mer Rouge,"Toute l'année — récifs coralliens, épave Cedar Pride, 330 jours de soleil."
aqaba,🏖️,Plages & détente,"Octobre-mai — eau à 22-26°C, 25°C dans l'air, vent léger."
aqaba,🏜️,Wadi Rum à 1h,"Mars-mai ou sep-nov — excursion désert depuis Aqaba en demi-journée."
aqaba,💰,Budget,"Juin-août — tarifs réduits malgré la chaleur, plongée toute l'année."
wadi-rum,🏜️,Désert & camps bédouins,"Mars-mai ou sep-nov — nuits sous les étoiles, falaises de grès rouge."
wadi-rum,🧗,Escalade & arches,"Octobre-avril — Burdah Rock Bridge, Jebel Um Ishrin, parois légendaires."
wadi-rum,🎬,Sites de Lawrence d'Arabie,"Toute l'année — Seven Pillars, inscriptions nabatéennes, 4x4 dans le sable."
wadi-rum,🌌,Ciels étoilés,"Toute l'année — zéro pollution lumineuse, camps astro-tourisme."
nairobi,🦁,Safari & Masai Mara,"Juillet-octobre — grande migration des gnous, lodges et game drives."
nairobi,🏛️,Parc national en ville,"Toute l'année — girafes et rhinocéros avec skyline en arrière-plan."
nairobi,🍽️,Scène food Nairobi,"Toute l'année — nyama choma, marché Maasai, restaurants Karen Blixen."
nairobi,💰,Budget,"Janvier-mars — basse saison safari, lodges -40%, temps sec."
mombasa,🏰,Fort Jésus,"Toute l'année — forteresse portugaise XVI°, patrimoine UNESCO."
mombasa,🏖️,Plages de Diani,"Janvier-mars ou oct — sable blanc, eau turquoise, récifs coralliens."
mombasa,🍛,Cuisine swahilie,"Toute l'année — pilau, biryani côtier, fruits de mer épicés au port."
mombasa,💰,Budget,"Mai-juin — saison des pluies mais tarifs -50%, plages désertes."
johannesburg,🏛️,Apartheid Museum,"Toute l'année — mémoire vivante, Constitution Hill, quartier de Soweto."
johannesburg,🎨,Maboneng & art,"Toute l'année — quartier créatif, galeries, marchés du week-end."
johannesburg,🦁,Porte du Kruger,"Mai-septembre — safari Kruger à 5h, saison sèche, animaux aux points d'eau."
johannesburg,💰,Budget,"Mai-août — hiver sec et doux, vols Europe moins chers."
durban,🏖️,Golden Mile,"Toute l'année — promenade de 6 km, surf et eau subtropicale chaude."
durban,🍛,Cuisine indienne,"Toute l'année — bunny chow, curry house, plus grande diaspora indienne d'Afrique."
durban,🐊,iSimangaliso Wetland,"Mai-novembre — estuaire UNESCO, hippopotames, baleines en saison."
durban,💰,Budget,"Mai-août — hiver tempéré 23°C, plages sans foule."
accra,🏰,Forts côtiers,"Toute l'année — Cape Coast Castle, Elmina, mémoire de la traite."
accra,🏖️,Labadi Beach,"Novembre-mars — plage animée d'Accra, reggae et grillades."
accra,🎨,Marché Makola & art,"Toute l'année — plus grand marché d'Accra, galeries Jamestown."
accra,🍛,Cuisine ghanéenne,"Toute l'année — jollof rice, banku, kelewele, chop bars."
abidjan,🏙️,Plateau & lagune,"Toute l'année — quartier d'affaires, Cathédrale Saint-Paul, lagune Ébrié."
abidjan,🏖️,Grand-Bassam,"Décembre-mars — station balnéaire UNESCO à 40 min, architecture coloniale."
abidjan,🍽️,Maquis & attieké,"Toute l'année — grillades en plein air, attieké-poisson, allocodrome."
abidjan,💰,Budget,"Juin-septembre — saison des pluies, prix réduits hôtels."
kigali,🏛️,Mémorial du génocide,"Toute l'année — devoir de mémoire, Kigali Genocide Memorial Centre."
kigali,🦍,Gorilles des Virunga,"Juin-septembre — trek à 3h de Kigali, rencontre gorilles de montagne."
kigali,🌿,Mille collines,"Toute l'année — ville la plus propre d'Afrique, collines verdoyantes."
kigali,💰,Budget,"Mars-mai ou oct-nov — petite saison des pluies, permits moins demandés."
addis-abeba,☕,Cérémonie du café,"Toute l'année — rituel jebena buna, berceau du café arabica."
addis-abeba,🏛️,Musée national & Lucy,"Toute l'année — squelette d'Australopithecus, Mercato plus grand marché d'Afrique."
addis-abeba,🍛,Cuisine éthiopienne,"Toute l'année — injera, tibs, kitfo, restaurants de Bole."
addis-abeba,💰,Budget,"Octobre-janvier — saison sèche, ville accessible en budget."
stone-town,🏛️,Portes sculptées,"Toute l'année — 500+ portes en bois sculptées, dédale de ruelles coralliennes."
stone-town,🌅,Coucher de soleil Forodhani,"Toute l'année — marché nocturne, brochettes et jus de canne face au soleil couchant."
stone-town,🏖️,Plages de Zanzibar,"Juin-octobre — Nungwi, Kendwa, sable blanc et eau à 28°C."
stone-town,🌿,Forêt de Jozani,"Toute l'année — singes colobes rouges endémiques, mangrove."
victoria-falls,💧,Chutes Victoria,"Février-mai — débit maximal, rideau d'eau de 1 700 m, brume à 300 m."
victoria-falls,🪂,Bungee & activités,"Toute l'année — saut à l'élastique 111 m, rafting, survol hélico."
victoria-falls,🦁,Safari au Zambèze,"Juin-octobre — game drives Zambezi National Park, éléphants au bord."
victoria-falls,💰,Budget,"Novembre-décembre — début saison pluies, lodges -30%."
kampala,🏛️,Tombes des Kabakas,"Toute l'année — mausolée royal UNESCO, culture Buganda vivante."
kampala,🦍,Gorilles de Bwindi,"Juin-août — trek depuis Kampala, forêt impénétrable, 400+ gorilles."
kampala,🌊,Source du Nil à Jinja,"Toute l'année — rafting sur le Nil blanc, bungee, kayak à 2h."
kampala,💰,Budget,"Mars-mai — petite pluie, permits gorilles parfois disponibles."
lagos,🎵,Afrobeats & nightlife,"Toute l'année — Lekki, Victoria Island, clubs et concerts live."
lagos,🏖️,Tarkwa Bay & Elegushi,"Novembre-mars — plages accessibles en bateau, musique et grillades."
lagos,🛍️,Marché de Balogun,"Toute l'année — plus grand marché d'Afrique de l'Ouest, textiles."
lagos,🍽️,Street food Lagos,"Toute l'année — suya, jollof rice, puff puff dans les bukas."
dar-es-salaam,🏖️,Plages & îles,"Juin-octobre — Coco Beach, excursion Bongoyo Island en 30 min."
dar-es-salaam,🛍️,Marché Kariakoo,"Toute l'année — plus grand marché de Tanzanie, tissus, épices."
dar-es-salaam,🐟,Cuisine swahilie,"Toute l'année — poisson grillé, ugali, Slipway Food Court."
dar-es-salaam,💰,Budget,"Mars-mai — saison pluies, ferry Zanzibar moins cher, hôtels -30%."
mumbai,🏛️,Gateway of India & Colaba,"Octobre-mars — Taj Mahal Palace, Crawford Market, architecture coloniale."
mumbai,🎬,Bollywood,"Toute l'année — visite Film City, quartier Dharavi, cinémas Art Déco."
mumbai,🍛,Street food,"Toute l'année — vada pav, pav bhaji, bhel puri à Chowpatty Beach."
mumbai,🏝️,Grottes d'Elephanta,"Octobre-mai — sculptures rupestres UNESCO, 1h en ferry."
jaipur,🏰,Forts & palais,"Octobre-mars — Amber Fort, Hawa Mahal, City Palace, 20-25°C."
jaipur,🐘,Holi & festivals,"Mars — festival des couleurs avec éléphants décorés, musique."
jaipur,🧵,Bazars & artisanat,"Toute l'année — Johari Bazaar bijoux, textiles block-print, Bapu Bazaar."
jaipur,🍛,Cuisine rajasthani,"Toute l'année — dal baati churma, laal maas, lassi chez Lassiwala."
varanasi,🛕,Ghats du Gange,"Octobre-mars — cérémonie Ganga Aarti, bateau au lever du soleil."
varanasi,🕉️,Temples & Sarnath,"Toute l'année — Kashi Vishwanath, lieu de naissance du bouddhisme."
varanasi,🎵,Musique classique,"Février-mars — festival Dhrupad, traditions musicales millénaires."
varanasi,🍛,Street food,"Toute l'année — kachori, chaat, lassi au safran, thali végétarien."
udaipur,🏰,Lake Palace & City Palace,"Octobre-mars — palais flottant, musées royaux, 25°C."
udaipur,⛵,Lac Pichola au coucher,"Octobre-mars — bateau vers Jag Mandir, reflets dorés sur le lac."
udaipur,🎨,Miniatures & art,"Toute l'année — école de peinture miniature, ateliers d'artisans."
udaipur,🍽️,Dîner rooftop vue lac,"Toute l'année — terrasses avec vue panoramique, cuisine rajasthani."
colombo,🛕,Temples de Colombo,"Toute l'année — Gangaramaya, Kelaniya Raja Maha Vihara."
colombo,🛍️,Pettah Market,"Toute l'année — bazars chaotiques, textiles, épices en vrac."
colombo,🍛,Cuisine cinghalaise,"Toute l'année — rice & curry, hoppers, kottu roti, crabe poivré."
colombo,🏖️,Plages du sud à 2h,"Décembre-mars — Unawatuna, Mirissa, observation baleines."
kandy,🛕,Temple de la Dent,"Toute l'année — relique sacrée du bouddhisme, cérémonie de la puja."
kandy,🌿,Jardins botaniques royaux,"Toute l'année — Peradeniya, orchidées, allée de palmiers royaux."
kandy,🍵,Plantations de thé,"Toute l'année — visite fabriques, cueillette, train panoramique vers Ella."
kandy,🎭,Esala Perahera,"Juillet-août — procession annuelle spectaculaire avec 100 éléphants."
yangon,🛕,Pagode Shwedagon,"Toute l'année — stupa doré de 99 m, coucher de soleil depuis la terrasse."
yangon,🏛️,Architecture coloniale,"Novembre-février — plus de bâtiments coloniaux que Bombay, rues du centre."
yangon,🍜,Street food birmane,"Toute l'année — mohinga, shan noodles, tea shops de quartier."
yangon,💰,Budget,"Juin-septembre — mousson mais prix -40%, temples sans foule."
mandalay,🌉,Pont U Bein,"Novembre-février — plus long pont en teck du monde, coucher de soleil."
mandalay,🛕,Temples de Bagan,"Novembre-février — 2 000+ temples à 4h, survol en montgolfière."
mandalay,🎨,Artisanat birman,"Toute l'année — marionnettes, tissage de soie, sculpture sur bois."
mandalay,🌅,Colline de Mandalay,"Toute l'année — panorama sur l'Irrawaddy, pagodes et monastères."
manille,🏰,Intramuros,"Novembre-mai — ville fortifiée espagnole, Fort Santiago, San Agustin."
manille,🍽️,Street food & Binondo,"Toute l'année — plus ancien Chinatown, lumpia, halo-halo."
manille,🏝️,Îles à 1h de vol,"Novembre-mai — Boracay, Palawan, Siargao à portée de vol."
manille,💰,Budget,"Juin-octobre — mousson mais prix -40%, jeepney et marchés."
danang,🏖️,Plages My Khe,"Mai-septembre — 30 km de sable, surf et eau chaude."
danang,🐉,Pont Dragon,"Toute l'année — pont Dragon crachant du feu le week-end, River Walk."
danang,🏛️,Montagnes de marbre,"Février-mai — grottes bouddhistes, pagodes, vue sur la côte."
danang,🏘️,Hội An à 30 min,"Février-mai — vieille ville aux lanternes, tailleurs sur mesure."
xian,🏛️,Armée de terre cuite,"Mars-mai ou sep-nov — 8 000 guerriers de Qin Shi Huang, 20°C."
xian,🏰,Remparts de Xi'an,"Toute l'année — tour en vélo sur 14 km de fortifications intactes."
xian,🍜,Quartier musulman,"Toute l'année — biangbiang noodles, roujiamo, marché nocturne."
xian,💰,Budget,"Novembre-février — hors saison, hôtels -30%, sites sans foule."
chengdu,🐼,Base des pandas géants,"Toute l'année — pandas et bébés pandas, visite tôt le matin."
chengdu,🌶️,Cuisine sichuanaise,"Toute l'année — hotpot, mapo tofu, dan dan noodles, marché Jinli."
chengdu,🍵,Maisons de thé,"Toute l'année — People's Park, oreilles nettoyées, parties de mahjong."
chengdu,💰,Budget,"Novembre-février — vols intérieurs pas chers, hôtels -30%."
guilin,🏞️,Croisière rivière Li,"Avril-octobre — pitons karstiques, radeaux en bambou, paysage de carte postale."
guilin,🌾,Rizières de Longji,"Mai-juin ou sep-oct — terrasses en cascade, villages Zhuang et Yao."
guilin,🏛️,Grotte de la Flûte de Roseau,"Toute l'année — stalactites illuminées, caverne de 240 m."
guilin,💰,Budget,"Novembre-février — hors saison, paysages brumeux photogéniques."
sapporo,❄️,Festival de neige,"Février — sculptures de glace géantes à Odori Park, 2M+ visiteurs."
sapporo,🍜,Ramen & cuisine,"Toute l'année — ramen miso, crabe d'Hokkaido, BBQ Genghis Khan."
sapporo,⛷️,Ski Niseko,"Décembre-mars — poudreuse légendaire 15 m/an, onsen après-ski."
sapporo,🌸,Sakura tardifs & bière,"Mai — hanami à Maruyama Park, visite Sapporo Beer Museum."
samarcande,🕌,Registan,"Mars-mai ou sep-nov — trois médersas monumentales, mosaïques turquoise."
samarcande,🏛️,Mausolée de Tamerlan,"Toute l'année — Gur-e-Amir, coupole bleue, sépulture du conquérant."
samarcande,🛍️,Bazar Siab,"Toute l'année — pains ronds, fruits secs, épices, artisanat ouzbek."
samarcande,💰,Budget,"Décembre-février — hôtels -50%, sites quasi déserts."
almaty,🏔️,Tian Shan à 30 min,"Juin-septembre — randonnée Big Almaty Lake, glaciers, 3 000 m."
almaty,⛷️,Ski Shymbulak,"Décembre-mars — station olympique à 30 min du centre, 3 200 m."
almaty,🛍️,Bazar Vert,"Toute l'année — Zelyony Bazaar, fruits d'Asie centrale, noix, fromages."
almaty,💰,Budget,"Toute l'année — ville très abordable, transports et repas bon marché."
sao-paulo,🍽️,Gastronomie mondiale,"Toute l'année — plus de restaurants que New York, Japanese District, Vila Madalena."
