slug,icon,titre,texte
genes,🐠,Acquario di Genova,"Toute l'année — plus grand aquarium d'Italie, dauphins, méduses."
genes,🏖️,Cinque Terre,"Avr-oct — 5 villages à 2h de train, randonnée côtière."
catane,🌋,Excursion Etna,"Avr-oct — sommet du plus grand volcan actif d'Europe, 3 357 m."
catane,🐟,Pescheria & street food,"Toute l'année — marché aux poissons historique, arancini, granita."
catane,🏛️,Baroque sicilien,"Toute l'année — Piazza del Duomo, Via Etnea, Monastero dei Benedettini."
catane,🏖️,Plages volcaniques,"Juin-sep — San Giovanni Li Cuti, Aci Trezza, roches noires."
sorrente,🍋,Limoncello & citronniers,"Toute l'année — terrasses d'agrumes, production artisanale locale."
sorrente,🏖️,Côte Amalfitaine,"Mai-oct — excursion Positano, Amalfi, Ravello depuis Sorrente."
sorrente,🏝️,Capri,"Avr-oct — 20 min en ferry, Grotta Azzurra, jardins d'Auguste."
sorrente,🍝,Gnocchi alla sorrentina,"Toute l'année — cuisine locale, fruits de mer, vino de la côte."
ravello,🎵,Festival de Ravello,"Juin-sep — concerts classiques au Belvédère de la Villa Rufolo."
ravello,🏛️,Terrasse de l'Infini,"Toute l'année — Villa Cimbrone, la plus belle vue de la côte."
ravello,🥾,Sentier des Dieux,"Avr-oct — randonnée spectaculaire entre Agerola et Positano."
ravello,💰,Budget,"Oct-nov — côte désertée, prix divisés par 2, lumière automnale."
taormina,🏛️,Théâtre gréco-romain,"Toute l'année — vue Etna et baie depuis les gradins antiques."
taormina,🏖️,Isola Bella,"Mai-sep — plage au pied de la falaise, réserve naturelle."
taormina,🎬,Taormina Film Fest,"Juin — projections en plein air dans le théâtre antique."
taormina,🍷,Vins de l'Etna,"Toute l'année — Nerello Mascalese, caves sur les pentes du volcan."
siena,🐎,Palio di Siena,"2 juil & 16 août — course de chevaux médiévale, Piazza del Campo."
siena,🏛️,Piazza del Campo,"Toute l'année — place en coquillage, Palazzo Pubblico, Torre del Mangia."
siena,🍷,Chianti Classico,"Sep-oct — vendanges, route du Chianti entre vignobles et collines."
siena,🏘️,Val d'Orcia,"Mai-juin ou sep — collines UNESCO, Pienza, Montalcino, cyprès toscans."
trieste,☕,Cafés historiques,"Toute l'année — San Marco, Antico Torinese : capitale italienne du café."
trieste,🏰,Château de Miramare,"Toute l'année — palais Habsbourg en bord de mer, jardins botaniques."
trieste,🌊,Barcola & Grotta Gigante,"Juin-sep — baignade locale, plus grande grotte touristique au monde."
trieste,🍷,Osmize du Carso,"Toute l'année — tavernes rurales du Karst, jota triestina, vins locaux."
mumbai,🏛️,Gateway of India & Colaba,"Oct-mars — Taj Mahal Palace, Crawford Market, quartier colonial."
mumbai,🎬,Bollywood,"Toute l'année — studios Film City, visites de tournages, Dharavi."
mumbai,🍛,Street food de Chowpatty,"Toute l'année — vada pav, pav bhaji, bhel puri sur la plage."
mumbai,🏝️,Elephanta Caves,"Oct-mai — grottes sculptées UNESCO, 1h en ferry depuis le port."
jaipur,🏰,Amber Fort & Hawa Mahal,"Oct-mars — forts et palais de la Ville Rose, 20-25°C idéaux."
jaipur,🐘,Festival des éléphants,"Mars — Holi avec éléphants décorés, explosion de couleurs."
jaipur,🧵,Bazars & artisanat,"Toute l'année — Johari Bazaar (bijoux), textiles block-print, Bapu Bazaar."
jaipur,🍛,Cuisine rajasthani,"Toute l'année — dal baati churma, laal maas, lassi chez Lassiwala."
varanasi,🛕,Ghats du Gange,"Oct-mars — cérémonie Ganga Aarti au coucher, bateau au lever du soleil."
varanasi,🕉️,Kashi Vishwanath & Sarnath,"Toute l'année — temple d'or, site bouddhiste, quartier sacré millénaire."
varanasi,🎵,Festival Dhrupad,"Fév-mars — musique classique hindoustanie, traditions millénaires."
varanasi,🍛,Street food sacrée,"Toute l'année — kachori, chaat, lassi au safran, thali végétarien."
udaipur,🏰,Lake Palace & City Palace,"Oct-mars — palais flottant, Monsoon Palace au coucher du soleil."
udaipur,⛵,Lac Pichola,"Oct-mars — bateau au coucher, Jag Mandir, reflets dorés sur l'eau."
udaipur,🎨,Peinture miniature,"Toute l'année — école de miniatures, ateliers d'artisans rajasthanis."
udaipur,💰,Budget,"Juil-sep — mousson mais prix -50%, riads et palais quasi déserts."
agra,🕌,Taj Mahal au lever,"Oct-mars — lumière dorée à l'aube, affluence moindre à 6h."
agra,🏰,Fort d'Agra,"Oct-mars — forteresse moghole UNESCO, vue sur le Taj depuis les remparts."
agra,🕌,Fatehpur Sikri,"Oct-mars — cité moghole fantôme à 40 km, grès rouge sculpté."
agra,🍛,Cuisine moghole,"Toute l'année — petha (confiserie locale), kebabs, biryani d'Agra."
pondicherry,🏘️,Quartier français,"Toute l'année — rues coloniales pastel, cafés, bougainvilliers."
pondicherry,🧘,Auroville & Matrimandir,"Toute l'année — cité utopique, sphère dorée, méditation."
pondicherry,🏖️,Paradise Beach,"Nov-mars — plage accessible en bateau, saison sèche idéale."
pondicherry,🍛,Cuisine franco-indienne,"Toute l'année — crêpes au curry, dosai, cafés de la rue Suffren."
hampi,🏛️,Ruines de Vijayanagara,"Oct-mars — temples UNESCO, Vittala Temple et char de pierre."
hampi,🧗,Bouldering,"Oct-mars — blocs de granit mythiques, communauté grimpeurs active."
hampi,🚲,Vélo dans les ruines,"Nov-fév — 500+ monuments à explorer à vélo, 20-28°C."
hampi,💰,Budget,"Nov-fév — guesthouses à 5€/nuit, thali à 1€, Inde la moins chère."
kochi,🎣,Filets chinois & Fort Cochin,"Oct-mars — filets historiques, églises portugaises, synagogue juive."
kochi,💃,Kathakali,"Toute l'année — spectacles de danse rituelle, maquillage élaboré."
kochi,🛶,Backwaters d'Alleppey,"Sep-mars — houseboat dans les rizières et canaux du Kerala."
kochi,🍛,Cuisine kéralaise,"Toute l'année — appam, fish curry, thali sur feuille de bananier."
sapporo,❄️,Festival de neige,"Février — sculptures de glace géantes à Odori Park, 2M+ visiteurs."
sapporo,🍜,Ramen miso & crabe,"Toute l'année — ramen de Sapporo, crabe royal, Genghis Khan BBQ."
sapporo,⛷️,Ski Niseko & Furano,"Déc-mars — poudreuse légendaire, 15 m de neige/an, onsen après-ski."
sapporo,🌸,Sakura tardifs,"Mai — hanami un mois après Tokyo, Maruyama Park, Goryokaku."
nara,🦌,Daims du parc,"Toute l'année — 1 200 daims en liberté, biscuits shika senbei."
nara,🛕,Todai-ji,"Toute l'année — plus grande structure en bois au monde, Bouddha de 15 m."
nara,🍂,Feuillages d'automne,"Nov — parc et temples en rouge et or, moins de monde qu'à Kyoto."
nara,🍡,Mochi de Nakatanidou,"Toute l'année — mochi pilonné en direct, kakinoha sushi, matcha."
nagasaki,🕊️,Mémorial de la paix,"Toute l'année — Parc de la Paix, musée, cérémonie du 9 août."
nagasaki,🏘️,Glover Garden,"Mars-mai — jardins sur la colline, architecture occidentale, vue baie."
nagasaki,🐉,Kunchi Festival,"Octobre — festival dragon chinois de 400 ans, quartier Dejima."
nagasaki,🍜,Champon & castella,"Toute l'année — nouilles champon, gâteau portugais castella, shippoku."
sarajevo,🕌,Baščaršija,"Toute l'année — bazar ottoman, mosquée Gazi Husrev-beg, ćevapi."
sarajevo,🏔️,Montagnes olympiques,"Déc-mars — ski Jahorina et Bjelašnica, sites JO 1984."
sarajevo,☕,Culture du café bosniaque,"Toute l'année — café préparé en džezva, Sebilj et vieille ville."
sarajevo,🏛️,Tunnel de l'espoir,"Toute l'année — tunnel du siège 1992-96, mémoire vivante de la guerre."
belgrade,🎵,Vie nocturne & splavovi,"Mai-oct — bars flottants sur le Danube, Savamala, Skadarlija."
belgrade,🏰,Forteresse de Kalemegdan,"Toute l'année — citadelle au confluent Danube-Save, vue panoramique."
belgrade,🍽️,Cuisine serbe,"Toute l'année — ćevapčići, pljeskavica, rakija dans les kafanas."
belgrade,💰,Budget,"Toute l'année — capitale européenne la moins chère, repas 5-8€."
skopje,🏛️,Vieux bazar ottoman,"Toute l'année — plus grand bazar des Balkans après Istanbul."
skopje,🏔️,Canyon Matka,"Avr-oct — gorge à 30 min, kayak, grottes, monastères médiévaux."
skopje,🍽️,Tavče gravče & kebapi,"Toute l'année — cuisine macédonienne, vins de Tikveš, rakija."
skopje,💰,Budget,"Toute l'année — hébergement 20-30€/nuit, repas complet 5€."
tirana,🎨,Street art & Blloku,"Toute l'année — quartier branché, fresques murales, cafés tendance."
tirana,🏔️,Dajti Express,"Avr-oct — téléphérique vers le mont Dajti, vue sur toute la ville."
tirana,🏛️,Place Skanderbeg,"Toute l'année — mosquée Et'hem Bey, musée national, bunkers."
tirana,💰,Budget,"Toute l'année — l'une des capitales les moins chères d'Europe, repas 3-5€."
riyad,🏛️,Diriyah & At-Turaif,"Oct-mars — site UNESCO, berceau du royaume saoudien, quartier restauré."
riyad,🏙️,Boulevard Riyadh City,"Oct-mars — parc de divertissement, restaurants, événements culturels."
riyad,🏜️,Edge of the World,"Nov-fév — falaises spectaculaires à 90 min, coucher de soleil saisissant."
riyad,💰,Budget,"Nov-fév — hors Ramadan, températures supportables 20-25°C."
djeddah,🏛️,Al-Balad,"Oct-avr — vieille ville UNESCO, maisons à moucharabiehs, souks."
djeddah,🤿,Plongée mer Rouge,"Toute l'année — récifs coralliens, épaves, eau à 26-30°C."
djeddah,🍽️,Front de mer Corniche,"Oct-avr — promenade de 30 km, restaurants de poisson, coucher soleil."
djeddah,💰,Budget,"Nov-fév — températures douces, hors saison Hajj."
bahrein,🏛️,Fort de Bahreïn,"Oct-avr — site UNESCO, 4 000 ans d'histoire, musée archéologique."
bahrein,🤿,Plongée & perles,"Oct-mai — sentier des perles UNESCO, sites de plongée, eau claire."
bahrein,🏎️,Grand Prix de F1,"Mars — circuit de Sakhir, course nocturne, ambiance internationale."
bahrein,🍽️,Manama & souks,"Oct-avr — souk de Bab al-Bahrain, cuisine du Golfe, restaurants."
koweït,🏛️,Tours de Koweït,"Nov-mars — icônes architecturales, vue panoramique sur la baie."
koweït,🛍️,Souks & Mubarakiya,"Toute l'année — marché historique, épices, dattes, artisanat bédouin."
koweït,🏖️,Failaka Island,"Oct-avr — île archéologique, ruines grecques, plages tranquilles."
koweït,💰,Budget,"Nov-fév — 22°C, musées gratuits, plages publiques accessibles."
beyrouth,🍽️,Gastronomie libanaise,"Toute l'année — mezze, manoushe, restaurants de Gemmayzeh et Mar Mikhael."
beyrouth,🏔️,Cèdres & vallée de Qadisha,"Mai-oct — forêt millénaire UNESCO, gorge spectaculaire, randonnée."
beyrouth,🏛️,Byblos & Baalbek,"Avr-oct — cités phéniciennes et temples romains colossaux."
beyrouth,🏖️,Batroun & Tyr,"Juin-sep — plages de la côte nord, Tyr et ses ruines balnéaires."
muscat,🕌,Grande Mosquée Sultan Qaboos,"Oct-mars — l'une des plus belles mosquées du monde, tapis persan géant."
muscat,🏜️,Wahiba Sands,"Nov-mars — dunes dorées, bivouac bédouin, 4x4 dans le désert."
muscat,🤿,Fjords de Musandam,"Oct-avr — dhow cruise, plongée, dauphins, paysage spectaculaire."
muscat,🏛️,Souks de Muttrah,"Oct-avr — encens, argent omanais, corniche en bord de mer."
casablanca,🕌,Mosquée Hassan II,"Toute l'année — 3e plus grande mosquée du monde, minaret de 210 m sur mer."
casablanca,🏛️,Quartier Art déco,"Toute l'année — architecture des années 1930, boulevard Mohammed V."
casablanca,🍽️,Gastronomie & marché central,"Toute l'année — fruits de mer, pastilla, tajines, pâtisseries."
casablanca,💰,Budget,"Nov-fév — hors saison, vols et hôtels moins chers, 18°C."
nairobi,🦁,Safari Nairobi National Park,"Juin-oct — lions et girafes avec skyline en arrière-plan."
nairobi,🦒,Giraffe Centre & David Sheldrick,"Toute l'année — girafes nourries à la main, éléphanteaux orphelins."
nairobi,🏔️,Excursion Rift Valley,"Juin-oct — lac Naivasha, lac Nakuru, flamants roses."
nairobi,🍽️,Gastronomie naïrobienne,"Toute l'année — nyama choma, ugali, restaurants du quartier Karen."
mombasa,🏖️,Plages Diani & Nyali,"Jan-mars ou juil-oct — sable blanc, eau turquoise, récifs."
mombasa,🏰,Fort Jesus,"Toute l'année — forteresse portugaise UNESCO de 1593, musée."
mombasa,🤿,Plongée & snorkel,"Oct-mars — parc marin de Kisite-Mpunguti, tortues, dauphins."
mombasa,🍽️,Cuisine swahilie,"Toute l'année — biryani mombassien, pilau, fruits de mer épicés."
johannesburg,🏛️,Apartheid Museum,"Toute l'année — mémoire nationale, Constitution Hill, Soweto."
johannesburg,🦁,Safari Pilanesberg,"Mai-oct — Big Five à 2h30 de Joburg, saison sèche idéale."
johannesburg,🎨,Maboneng & Arts on Main,"Toute l'année — quartier arty, galeries, street food, marchés."
johannesburg,💰,Budget,"Mai-août — hiver sec, vols Europe-Afrique au meilleur prix."
durban,🏖️,Golden Mile,"Toute l'année — plage urbaine, surf, eau chaude toute l'année (21-26°C)."
durban,🍛,Bunny chow & curry,"Toute l'année — curry dans pain évidé, cuisine indo-sud-africaine unique."
durban,🦏,Hluhluwe-Imfolozi,"Mai-oct — réserve rhinocéros à 3h, Big Five, saison sèche."
durban,💰,Budget,"Mai-août — hiver doux 22°C, prix bas, moins de touristes."
accra,🏖️,Labadi Beach,"Nov-mars — plage animée, reggae, cocotiers, saison sèche."
accra,🏰,Cape Coast Castle,"Toute l'année — fort esclavagiste UNESCO à 2h, mémoire poignante."
accra,🍽️,Street food & Makola Market,"Toute l'année — jollof rice, kelewele, waakye, marchés animés."
accra,🥁,Chale Wote Festival,"Août — art de rue, musique, performances dans le quartier Jamestown."
abidjan,🏖️,Plages de Grand-Bassam,"Nov-mars — station balnéaire UNESCO coloniale à 40 km, saison sèche."
abidjan,🍽️,Maquis & attiéké,"Toute l'année — restaurants de plein air, poulet braisé, alloco."
abidjan,🏛️,Plateau & cathédrale,"Toute l'année — quartier d'affaires moderniste, Saint-Paul (Aldo Rossi)."
abidjan,💰,Budget,"Déc-fév — saison sèche, hébergement abordable en Plateau."
kigali,🦍,Gorilles des Virunga,"Juin-sep — trek dans le parc des Volcans, 1h face aux gorilles."
kigali,🏛️,Mémorial du génocide,"Toute l'année — mémorial de Gisozi, devoir de mémoire essentiel."
kigali,☕,Café rwandais,"Toute l'année — plantations, torréfaction artisanale, dégustation."
kigali,🌿,Parc de Nyungwe,"Juin-sep — forêt tropicale, chimpanzés, canopy walk à 50 m."
addis-abeba,🏛️,Musée national & Lucy,"Toute l'année — squelette d'australopithèque, 3,2 millions d'années."
addis-abeba,☕,Cérémonie du café,"Toute l'année — berceau du café, torréfaction rituelle, jebena."
addis-abeba,🍽️,Injera & cuisine éthiopienne,"Toute l'année — injera aux wots épicés, tibs, marchés du Merkato."
addis-abeba,💰,Budget,"Oct-mai — saison sèche, vols intérieurs bon marché."
stone-town,🏘️,Médina de Zanzibar,"Juin-oct — ruelles labyrinthiques UNESCO, portes sculptées, épices."
stone-town,🌶️,Spice Tour,"Juil-oct — plantations de clou de girofle, vanille, muscade."
stone-town,🏖️,Plages de Nungwi,"Juin-oct — sable blanc, eau turquoise, dhows traditionnels."
stone-town,🍽️,Jardins de Forodhani,"Toute l'année — marché nocturne de fruits de mer, pizzas zanzibarites."
victoria-falls,🌊,Chutes Victoria,"Fév-mai — débit maximal, spray visible à 30 km, arc-en-ciel."
victoria-falls,🚣,Rafting Zambèze,"Août-déc — rapides classe V parmi les meilleurs au monde."
victoria-falls,🦁,Safari Chobe,"Mai-oct — parc du Chobe à 80 km, éléphants par milliers."
victoria-falls,🌉,Pont & saut à l'élastique,"Toute l'année — 111 m au-dessus de la gorge, vue sur les chutes."
kampala,🦍,Gorilles de Bwindi,"Juin-sep — trek depuis Kampala, forêt impénétrable UNESCO."
kampala,🏛️,Tombes des rois du Buganda,"Toute l'année — site UNESCO à Kasubi, culture royale."
kampala,🍽️,Rolex & street food,"Toute l'année — omelette roulée dans chapati, matoke, cuisine locale."
kampala,💰,Budget,"Juin-août — saison sèche, safaris et lodges moins chers."
lagos,🎵,Afrobeats & vie nocturne,"Toute l'année — Lekki, Victoria Island, clubs et concerts live."
lagos,🏖️,Tarkwa Bay & Elegushi,"Nov-mars — plages accessibles en bateau, saison sèche."
lagos,🍽️,Street food & jollof,"Toute l'année — suya grillé, jollof rice, marchés de Lekki."
lagos,🎨,Nike Art Gallery,"Toute l'année — 4 étages d'art contemporain nigérian, ateliers."
dar-es-salaam,🏖️,Plages de Kigamboni,"Juin-oct — plages sauvages, kitesurf, fruit de mer frais."
dar-es-salaam,🛶,Île de Bongoyo,"Juin-oct — snorkel à 30 min en bateau, récifs préservés."
dar-es-salaam,🍽️,Kivukoni Fish Market,"Toute l'année — poisson grillé ultra-frais, ambiance portuaire."
dar-es-salaam,💰,Budget,"Juin-oct — haute saison mais prix très bas, hébergement 15-25€."
xian,🏛️,Armée de terre cuite,"Mars-mai ou sep-nov — 8 000 guerriers, UNESCO, éviter chaleur estivale."
xian,🏰,Remparts de Xi'an,"Toute l'année — muraille Ming de 14 km à vélo, vue panoramique."
xian,🍜,Quartier musulman,"Toute l'année — roujiamo (burger chinois), biang biang noodles, brochettes."
xian,💰,Budget,"Nov-fév — billets et hôtels -30%, froid mais supportable 5-10°C."
chengdu,🐼,Base des pandas géants,"Toute l'année — bébés pandas, visite tôt le matin pour les voir actifs."
chengdu,🌶️,Cuisine sichuanaise,"Toute l'année — hotpot, mapo tofu, dan dan noodles, poivre de Sichuan."
chengdu,🍵,Maisons de thé,"Toute l'année — People's Park, culture du thé, parties de mahjong."
chengdu,🏛️,Bouddha géant de Leshan,"Mars-mai ou sep-nov — statue de 71 m à 2h, UNESCO."
guilin,🏞️,Croisière Li River,"Avr-oct — paysages karstiques entre Guilin et Yangshuo, iconiques."
guilin,🚲,Yangshuo & vélo,"Avr-oct — rizières, pics karstiques, escalade, vie bohème."
guilin,🌾,Terrasses de Longji,"Mai-juin ou sep-oct — rizières en terrasses, villages Zhuang et Yao."
guilin,🍜,Nouilles de riz de Guilin,"Toute l'année — guilin mifen, spécialité locale incontournable."
samarcande,🕌,Registan,"Avr-mai ou sep-oct — 3 madrasas, mosaïques turquoise, cœur de la route de la soie."
samarcande,🏛️,Shah-i-Zinda,"Avr-oct — nécropole aux mausolées bleus, la plus belle d'Asie centrale."
samarcande,🍽️,Plov & bazars,"Toute l'année — pilaf ouzbek, pain tandoor, bazar Siab."
samarcande,💰,Budget,"Nov-fév — hôtels -40%, sites peu fréquentés, froid mais sec."
almaty,🏔️,Montagnes du Tian Shan,"Juin-sep — téléphérique Kok Tobe, station Shymbulak, Big Almaty Lake."
almaty,⛷️,Ski Shymbulak,"Déc-mars — station à 30 min du centre, poudreuse à prix doux."
almaty,🍎,Bazar vert & cuisine,"Toute l'année — Green Bazaar, beshbarmak, pommes sauvages originelles."
almaty,🏞️,Charyn Canyon,"Mai-oct — « Grand Canyon du Kazakhstan », 200 km d'Almaty."
sao-paulo,🍽️,Gastronomie mondiale,"Toute l'année — plus de restaurants que toute autre ville d'Amérique du Sud."
sao-paulo,🎨,Musées & Beco do Batman,"Toute l'année — MASP, Pinacoteca, street art de Vila Madalena."
sao-paulo,🎵,Vida noturna & samba,"Toute l'année — Vila Madalena, Jardins, scène musicale intense."
sao-paulo,💰,Budget,"Avr-juin — hors vacances, hôtels business moins chers le weekend."
salvador-de-bahia,🥁,Pelourinho & Olodum,"Toute l'année — quartier colonial UNESCO, percussions, capoeira."
salvador-de-bahia,🎭,Carnaval de Salvador,"Février — plus grand carnaval de rue au monde, 6 jours de fête."
salvador-de-bahia,🍽️,Cuisine bahianaise,"Toute l'année — acarajé, moqueca, vatapá, cuisine afro-brésilienne."
salvador-de-bahia,🏖️,Plages Itapuã & Porto da Barra,"Nov-mars — eau chaude, cocotiers, ambiance tropicale."
cusco,🏛️,Centre historique inca,"Avr-oct — Qorikancha, Plaza de Armas, murs incas, altitude 3 400 m."
cusco,🏔️,Machu Picchu,"Mai-sep — saison sèche, trek Inca Trail ou train depuis Ollantaytambo."
cusco,🌈,Montagne Arc-en-ciel,"Avr-oct — Vinicunca, randonnée à 5 200 m, couleurs géologiques."
cusco,🍽️,Cuisine novoandina,"Toute l'année — ceviche de trucha, cuy, marchés de San Pedro."
lima,🍽️,Capitale gastronomique,"Toute l'année — ceviche, Mistura, Central (#1 mondial), Miraflores."
lima,🏛️,Centro histórico,"Avr-nov — Plaza Mayor, catacombes San Francisco, architecture coloniale."
lima,🏖️,Costa Verde & Barranco,"Déc-mars — surf, falaises, quartier bohème, coucher de soleil."
lima,🌫️,Huaca Pucllana,"Toute l'année — pyramide pré-inca au milieu de Miraflores, dîner-spectacle."
cartagena,🏰,Ciudad Amurallada,"Déc-avr — murailles coloniales, balcons fleuris, Getsemaní street art."
cartagena,🏖️,Îles du Rosaire,"Déc-avr — archipel corallien à 45 min, snorkel, plages intactes."
cartagena,🍽️,Cuisine caribéenne,"Toute l'année — ceviche, arepa de huevo, cocktails au Café del Mar."
cartagena,💰,Budget,"Mai-juin ou sep-nov — prix -30%, orages courts l'après-midi."
montevideo,🍖,Asado & Mercado del Puerto,"Toute l'année — grillades légendaires au marché historique de 1868."
montevideo,🏖️,Rambla & Ciudad Vieja,"Nov-mars — promenade de 22 km, plages Pocitos et Ramírez."
montevideo,🍷,Tannat & bodegas,"Mars-mai — vendanges, route du vin uruguayen, cépage Tannat."
montevideo,💰,Budget,"Avr-oct — hors saison estivale, hôtels -30%, ville calme."
quito,🏛️,Centro histórico,"Toute l'année — premier site UNESCO au monde, églises coloniales dorées."
quito,🌋,Avenue des volcans,"Juin-sep — Cotopaxi, Chimborazo, treks en altitude spectaculaires."
quito,🐦,Forêt de nuages Mindo,"Toute l'année — 500 espèces d'oiseaux, papillons, zip-line."
quito,🍽️,Cuisine équatorienne,"Toute l'année — locro de papas, ceviche de crevettes, marchés."
la-paz,🏔️,Altiplano & Illimani,"Mai-oct — vue sur l'Illimani (6 438 m), téléphérique urbain."
la-paz,🛣️,Route de la Mort à VTT,"Mai-oct — descente de 3 600 m en 64 km, adrénaline pure."
la-paz,🏛️,Marché des sorcières,"Toute l'année — remèdes traditionnels, fœtus de lama, artisanat."
la-paz,💰,Budget,"Mai-oct — l'une des capitales les moins chères au monde, repas 2-3€."
asuncion,🏛️,Casco histórico & Panteón,"Avr-sep — palais López, Panteón des Héros, architecture coloniale."
